Urban,PCTGQTRS,HUNVFlag,Unemployment rate; Estimate; EDUCATIONAL ATTAINMENT 0 Some college or associate's degree,Total; Estimate; Some college no degree
1,0.0007919,0,4,20.7
1,0,0,4.2,28.9
1,0.001321,0,5.3,25.3
1,0.0066688,0,3.2,25.3
1,0.0041629,1,7,29.2
1,0.0025521,0,0,20
1,0.0054633,0,5.7,15.2
1,0.0048544,0,8.6,13.3
1,0.0051881,0,7.2,30.3
1,0.0134078,0,4.2,25.3
1,0.0014456,0,3.1,19.9
1,0.0031237,0,3.6,28
1,0.0025372,0,10.2,27.5
1,0.0205053,1,7.5,17.1
1,0,0,7.1,24.7
1,0.0013931,0,25,25.8
1,0,0,14.3,15.4
1,0.0052952,0,13,20.7
1,0.0015471,0,13.3,16
1,0,1,4,13.7
1,0.0114571,0,37.4,9.5
1,0.0630804,0,13.1,14.4
1,0.0011774,0,4.2,22.9
1,0.0028199,0,2.8,23.8
1,0.0005643,0,11.7,23
1,0.003128,0,6.1,19.2
1,0.0070841,0,14.7,18.6
1,0.0044385,1,11.1,25.1
1,0.0022784,0,8,11.2
1,0.0010064,0,23.5,21.2
1,0.0258546,1,9.9,17.8
1,0.0008734,0,4.9,21.7
1,0.0148766,1,8.1,22.1
1,0.0005258,1,7.3,16.4
1,0.033131,1,11.5,32.2
1,0.0048823,1,11.4,30.6
1,0.0017837,0,2.8,15.7
1,0.0010301,0,0,18.4
1,0,0,0,16.1
1,0,0,0,20.3
1,0.0015074,0,19.8,16.7
1,0.0055292,0,7.3,17.7
1,0.0042702,0,8.7,17.7
1,0.0004995,0,10.8,19.8
1,0.0262544,0,9.4,17.2
1,0.0008973,0,0,11.2
1,0.0063991,0,10.3,15
1,0,0,6.6,7.4
1,0,0,7,11
1,0.0696841,0,10.5,27.4
1,0,0,11.3,14.6
0,0,0,0,0
1,0.0309723,1,18.6,27.7
1,0.008225,0,1.7,29.1
1,0.0271132,0,0,28.4
1,0.0116262,0,3.3,30.2
0,0.4824936,0,2,17.8
0,0.0090287,0,2.9,34.5
0,0.0801165,0,1.5,32.9
1,0.0429499,0,5.4,25.5
1,0,0,0,29.4
1,0.0038368,0,1.5,44.8
1,0,0,3.8,22.1
1,0.0273973,0,6.3,30.5
0,0.0045437,0,13.3,32.8
0,0.0024038,0,7.5,20.7
0,0.0232988,0,10.6,18.4
0,0,0,4.6,29.3
0,0.0348031,1,2.7,34
0,0.0005609,0,3.2,29.9
1,0.000967,0,4.8,17.8
0,0,0,6.2,24.8
1,0.0006645,0,3.5,22
1,0.0012484,0,0,25.7
1,0,0,4.6,23.7
0,0.0012466,0,7,27.9
0,0.0008286,1,3.1,27.5
0,0.0128587,0,9.3,27.6
1,0,0,1.5,21.8
1,0.0008699,0,0,30.1
1,0,0,8.9,34.8
1,0,0,4.9,32.9
0,0.0033113,0,0,26.9
0,0.0017068,0,11.7,26.2
1,0,1,14.5,32.4
1,0.0069572,0,12.9,31.1
1,0.109378,0,14.5,30.4
0,0.0035211,0,11.8,23.8
0,0.0051053,0,11.7,31.9
0,0,0,13.2,34.4
0,0.0024927,0,5.2,31.8
0,0,0,5.8,31.5
0,0.0016234,0,9.2,35
1,0.0207262,1,5,33.5
0,0.0142349,0,5.3,31.3
0,0,0,12.3,33.8
1,0.0121183,1,15.3,16.7
1,0,0,0,21.5
1,0,0,2.9,22.1
0,0,0,0,42.1
0,0,0,30,22.5
0,0,0,0,0
1,0.8276224,0,0,22.2
1,0.027155,1,8.1,21.5
1,0.0146855,0,0,17.2
1,0.1734195,0,13.6,13.1
1,0,0,0,9.7
1,0.0549085,0,10,8.4
1,0.0534004,1,13.4,16.5
1,0.0237184,1,13.6,13
1,0,0,4.2,25.3
1,0.0031736,1,0,10.7
1,0.0024752,1,0,18.6
1,0.0012177,1,18.9,15.8
1,0.0267801,1,30.1,19.6
1,0,0,30.1,11.1
1,0.0025231,1,9,15.6
1,0,0,19.2,9.4
1,0.0020776,0,46.8,8.7
1,0.002588,1,16.7,8.9
1,0.0040477,0,20.9,18.5
1,0.1597444,1,0,18.2
1,0.0021645,0,18,25.3
